Rank,Country,Total Points,Previous Points,+/-,Positions,Avg.,AVG WGT,Avg.,AVG WGT,Avg.,AVG WGT,Avg.,AVG WGT,Year
1,France,0(0),810,0,,0,0,0,0,0,0,0,0,2002
2,Brazil,0(0),787,0,,0,0,0,0,0,0,0,0,2002
3,Argentina,0(0),786,0,,0,0,0,0,0,0,0,0,2002
4,Colombia,0(0),731,0,,0,0,0,0,0,0,0,0,2002
5,Portugal,0(0),726,0,,0,0,0,0,0,0,0,0,2002
6,Italy,0(0),722,0,,0,0,0,0,0,0,0,0,2002
7,Mexico,0(0),715,0,,0,0,0,0,0,0,0,0,2002
8,Spain,0(0),715,0,,0,0,0,0,0,0,0,0,2002
9,Netherlands,0(0),714,0,,0,0,0,0,0,0,0,0,2002
10,Yugoslavia,0(0),702,0,,0,0,0,0,0,0,0,0,2002
11,Germany,0(0),697,1,,0,0,0,0,0,0,0,0,2002
12,England,0(0),698,-1,,0,0,0,0,0,0,0,0,2002
13,USA,0(0),694,0,,0,0,0,0,0,0,0,0,2002
14,Romania,0(0),673,2,,0,0,0,0,0,0,0,0,2002
15,Republic of Ireland,0(0),670,4,,0,0,0,0,0,0,0,0,2002
16,Czech Republic,0(0),678,-2,,0,0,0,0,0,0,0,0,2002
17,Cameroon,0(0),670,1,,0,0,0,0,0,0,0,0,2002
18,Paraguay,0(0),678,-3,,0,0,0,0,0,0,0,0,2002
19,Sweden,0(0),671,-2,,0,0,0,0,0,0,0,0,2002
20,Denmark,0(0),660,0,,0,0,0,0,0,0,0,0,2002
21,Croatia,0(0),653,2,,0,0,0,0,0,0,0,0,2002
22,Turkey,0(0),650,3,,0,0,0,0,0,0,0,0,2002
23,Belgium,0(0),657,-1,,0,0,0,0,0,0,0,0,2002
24,Uruguay,0(0),660,-3,,0,0,0,0,0,0,0,0,2002
25,Slovenia,0(0),644,3,,0,0,0,0,0,0,0,0,2002
26,Honduras,0(0),649,0,,0,0,0,0,0,0,0,0,2002
27,Nigeria,0(0),640,2,,0,0,0,0,0,0,0,0,2002
28,Russia,0(0),650,-4,,0,0,0,0,0,0,0,0,2002
29,Costa Rica,0(0),645,-2,,0,0,0,0,0,0,0,0,2002
30,Iran,0(0),634,2,,0,0,0,0,0,0,0,0,2002
31,Tunisia,0(0),640,-1,,0,0,0,0,0,0,0,0,2002
32,Japan,0(0),632,1,,0,0,0,0,0,0,0,0,2002
33,Norway,0(0),637,-2,,0,0,0,0,0,0,0,0,2002
34,Saudi Arabia,0(0),628,0,,0,0,0,0,0,0,0,0,2002
35,Trinidad and Tobago,0(0),626,0,,0,0,0,0,0,0,0,0,2002
36,Ecuador,0(0),624,0,,0,0,0,0,0,0,0,0,2002
37,South Africa,0(0),624,0,,0,0,0,0,0,0,0,0,2002
38,Poland,0(0),620,0,,0,0,0,0,0,0,0,0,2002
39,Morocco,0(0),615,0,,0,0,0,0,0,0,0,0,2002
40,Korea Republic,0(0),602,1,,0,0,0,0,0,0,0,0,2002
41,Finland,0(0),601,1,,0,0,0,0,0,0,0,0,2002
42,Senegal,0(0),596,1,,0,0,0,0,0,0,0,0,2002
43,Egypt,0(0),604,-3,,0,0,0,0,0,0,0,0,2002
44,Ukraine,0(0),589,1,,0,0,0,0,0,0,0,0,2002
45,Chile,0(0),594,-1,,0,0,0,0,0,0,0,0,2002
46,Côte d'Ivoire,0(0),586,0,,0,0,0,0,0,0,0,0,2002
47,Peru,0(0),586,0,,0,0,0,0,0,0,0,0,2002
48,Australia,0(0),581,0,,0,0,0,0,0,0,0,0,2002
49,Slovakia,0(0),577,0,,0,0,0,0,0,0,0,0,2002
50,China PR,0(0),566,1,,0,0,0,0,0,0,0,0,2002
51,Israel,0(0),570,-1,,0,0,0,0,0,0,0,0,2002
52,Ghana,0(0),558,5,,0,0,0,0,0,0,0,0,2002
53,Greece,0(0),562,1,,0,0,0,0,0,0,0,0,2002
54,Bulgaria,0(0),564,-2,,0,0,0,0,0,0,0,0,2002
55,Scotland,0(0),564,-2,,0,0,0,0,0,0,0,0,2002
56,Iceland,0(0),559,0,,0,0,0,0,0,0,0,0,2002
57,Jamaica,0(0),556,1,,0,0,0,0,0,0,0,0,2002
58,Angola,0(0),552,1,,0,0,0,0,0,0,0,0,2002
59,Georgia,0(0),561,-4,,0,0,0,0,0,0,0,0,2002
60,Thailand,0(0),547,1,,0,0,0,0,0,0,0,0,2002
